"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","me01_01","me01_02","me01_03","me01_04","me01_05","me01_06","me01_07","me01_08","ko01_01","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","he01_01","he01_02","he01_03","he01_04","he01_05","he01_06","he01_07","he01_08","he01_09","he01_10","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","de01","de02_01","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time011","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"11",60,NA,NA,"base","interview",1,1,1,1,2,1,1,1,1,1,6,1,1,1,1,1,4,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,1,100,1,57,1,100,70,54,1,1,74,100,100,71,100,100,100,30,1,1,100,1,68,100,2,1,22,100,100,41,1,6,5,2,6,6,6,6,6,6,52,51,26,52,51,50,51,9,78,60,61,55,56,56,54,54,53,54,55,55,3,23,1,5,26,34,49,34,98,50,34,35,44,12,5,421,NA,TRUE,FALSE,11,11,0,0,"1,76"
"12",61,NA,NA,"base","interview",1,2,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,NA,1,1,1,1,1,1,52,12,71,1,90,51,100,1,1,84,1,100,100,100,100,100,100,1,1,100,30,100,100,5,5,30,100,1,43,5,6,6,6,6,6,6,6,5,6,51,51,31,51,61,101,101,101,101,101,101,51,101,101,101,91,101,101,101,101,1,23,21,5,5,67,125,32,172,48,43,66,110,21,4,693,NA,TRUE,FALSE,11,11,3,3,"1,34"
"13",62,NA,NA,"base","interview",3,4,2,2,1,1,3,1,2,1,3,2,1,1,1,1,2,6,1,1,2,3,2,2,6,2,3,2,1,3,4,3,3,75,100,67,51,50,66,90,76,26,6,51,75,75,80,100,100,100,69,1,70,100,46,51,99,14,51,75,100,51,66,6,6,6,6,6,6,6,4,5,6,86,26,26,51,26,34,70,76,51,51,51,68,67,101,90,1,90,78,83,66,2,23,44,5,17,84,118,38,237,107,52,61,111,22,5,852,NA,TRUE,FALSE,11,11,0,0,"0,99"
"14",63,NA,NA,"base","interview",3,3,3,2,4,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,4,1,1,3,2,2,2,1,100,60,61,13,100,57,100,1,11,46,71,100,100,100,100,72,84,1,1,89,50,100,66,18,26,45,99,50,100,6,5,5,5,6,6,6,6,4,5,61,42,43,37,35,40,64,93,101,52,53,40,69,72,60,64,50,70,52,49,1,22,13,5,17,83,118,80,228,76,44,64,83,23,11,827,NA,TRUE,FALSE,11,11,0,0,"0,94"
"15",64,NA,NA,"base","interview",2,3,2,3,3,2,3,2,2,5,1,3,3,1,2,1,1,2,1,2,2,1,3,5,3,2,2,1,1,4,5,5,2,11,39,94,27,46,46,90,79,23,18,25,51,51,67,26,100,40,71,21,6,70,51,67,51,83,26,80,80,11,87,5,5,5,5,4,6,4,4,2,3,56,40,34,29,18,43,92,93,22,30,30,13,72,32,51,18,51,51,34,14,1,28,49,6,24,71,93,33,167,79,42,59,61,30,10,669,NA,TRUE,FALSE,11,11,0,0,"1,1"
"16",65,NA,NA,"base","interview",2,1,1,3,2,1,4,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,3,2,3,3,2,3,1,71,70,70,71,71,71,89,47,30,57,67,84,83,82,100,100,98,1,2,99,78,67,96,51,28,47,100,53,83,5,5,5,6,6,6,6,6,6,6,63,51,64,54,11,78,95,94,73,73,65,36,79,72,73,64,47,59,52,63,1,23,41,5,25,55,83,34,118,65,37,43,58,18,5,541,NA,TRUE,FALSE,11,11,1,1,"1,37"
"17",66,NA,NA,"base","interview",2,5,3,4,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,5,1,1,3,3,2,1,1,51,80,100,81,100,100,100,1,80,100,81,50,100,100,100,100,100,31,1,100,50,100,100,100,1,100,100,31,100,6,6,6,6,6,6,6,6,6,5,69,53,35,54,34,35,101,101,84,54,53,35,101,75,101,34,55,101,54,32,1,24,54,6,23,138,182,72,266,66,46,43,85,28,9,958,NA,TRUE,FALSE,11,11,0,0,"0,9"
"18",71,NA,NA,"base","interview",1,3,1,3,2,2,2,2,2,1,1,1,1,2,1,1,1,4,2,4,2,2,1,3,3,4,4,3,2,2,4,3,3,1,51,59,73,33,78,62,85,1,3,37,9,73,100,100,100,85,100,9,1,100,9,100,92,13,1,71,85,61,70,5,4,5,6,5,5,6,4,4,6,51,51,26,51,51,51,86,101,86,51,51,51,51,51,51,51,51,51,51,51,2,28,40,5,11,63,135,61,692,75,41,55,130,23,3,1289,NA,TRUE,FALSE,11,11,0,0,"1,07"
"19",72,NA,NA,"base","interview",1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,4,1,3,1,1,1,1,1,2,2,3,1,2,3,2,1,NA,100,59,82,15,87,90,100,NA,27,78,58,100,89,100,100,100,100,10,NA,100,9,64,100,58,8,23,100,54,3,6,6,6,6,6,6,6,6,6,6,63,67,3,6,10,8,101,51,101,14,53,31,101,101,101,101,60,101,28,93,1,21,1,5,7,55,85,43,144,84,46,40,69,18,9,600,NA,TRUE,FALSE,11,11,0,0,"1,29"
"20",73,NA,NA,"base","interview",3,3,2,2,2,1,3,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,5,5,3,4,5,3,3,NA,51,1,100,51,51,80,80,1,1,75,51,100,100,100,51,51,76,1,25,51,51,76,75,1,25,51,51,51,36,5,5,5,5,5,5,5,5,5,4,51,51,51,51,51,51,51,51,26,51,51,51,51,51,51,51,51,51,51,26,2,23,21,6,4,67,92,49,199,82,56,51,91,18,7,716,NA,TRUE,FALSE,11,11,0,0,"1,26"
"21",76,NA,NA,"base","interview",1,2,3,2,1,2,3,2,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,4,2,2,1,1,1,1,1,NA,53,NA,53,NA,55,76,100,NA,NA,50,9,100,98,58,78,97,100,NA,NA,100,17,63,100,NA,NA,NA,77,NA,36,5,6,4,6,6,6,6,5,5,6,52,22,3,13,13,54,81,100,101,83,82,3,84,84,100,101,56,82,57,57,2,NA,25,6,9,48,79,32,90,63,35,39,64,20,1,480,NA,TRUE,FALSE,11,11,9,9,"1,68"
"22",77,NA,NA,"base","interview",3,3,3,4,3,4,5,3,3,2,1,3,4,3,4,1,6,3,2,2,3,3,5,6,5,4,4,2,3,6,3,4,3,NA,NA,65,61,81,79,100,100,35,57,58,19,27,100,74,52,6,27,NA,33,56,51,40,NA,79,37,61,NA,37,61,5,4,4,3,4,4,3,3,2,3,62,63,24,68,34,56,16,7,1,44,22,50,36,18,5,1,43,1,40,30,2,20,69,6,4,61,92,45,121,85,51,74,84,22,7,646,NA,TRUE,FALSE,11,11,3,3,"1,29"
"23",79,NA,NA,"base","interview",3,3,2,2,1,2,1,1,1,1,1,1,1,1,2,1,4,3,1,4,4,3,2,1,4,3,2,5,2,3,2,2,1,9,21,30,83,30,99,98,99,1,1,75,41,89,84,76,99,85,100,2,1,98,33,100,71,10,1,100,100,40,100,6,6,6,6,6,6,6,6,5,6,56,52,29,8,1,32,101,1,34,44,47,6,90,40,79,89,33,74,43,5,1,19,22,5,18,64,85,41,106,68,60,38,57,13,6,556,NA,TRUE,FALSE,11,11,0,0,"1,35"
"24",80,NA,NA,"base","interview",2,3,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,1,2,1,5,5,5,5,5,5,5,3,1,80,69,84,49,74,64,100,56,1,37,1,100,84,100,100,76,100,1,12,100,52,74,86,15,1,85,100,100,34,6,6,6,6,6,6,6,6,5,4,51,51,57,50,44,51,51,36,50,42,75,44,74,72,73,22,52,53,52,52,1,18,44,5,8,74,75,39,237,67,44,70,73,25,6,718,NA,TRUE,FALSE,11,11,0,0,"1,18"
"25",82,NA,NA,"base","interview",3,5,5,4,1,2,5,3,3,3,2,2,2,2,3,2,6,2,2,6,5,2,3,5,2,5,6,1,5,4,6,5,5,NA,25,25,6,83,45,100,63,59,NA,69,NA,29,100,12,100,100,100,NA,NA,100,100,NA,95,NA,39,99,15,72,84,5,5,5,4,4,4,4,4,1,1,89,89,21,19,11,101,61,87,27,1,85,55,87,86,62,1,55,84,69,1,2,25,71,6,11,141,162,68,251,136,74,124,252,32,3,1254,NA,TRUE,FALSE,11,11,6,6,"0,8"
"26",85,NA,NA,"base","interview",1,3,2,4,3,4,2,1,1,1,1,1,1,1,3,1,4,2,1,1,1,1,1,3,1,6,5,6,3,2,4,4,2,NA,11,25,26,NA,57,76,74,19,NA,19,23,71,100,39,100,71,78,NA,NA,88,51,69,85,NA,NA,38,87,NA,30,6,5,4,6,5,6,5,4,2,4,66,56,58,56,18,71,72,41,42,48,48,34,57,54,56,55,53,56,54,23,2,38,28,6,5,92,582,159,178,143,111,153,83,30,5,1541,NA,TRUE,FALSE,11,11,6,5,"0,86"
"27",88,NA,NA,"base","interview",1,2,2,3,3,3,2,1,1,1,2,1,1,2,5,1,5,5,1,5,2,1,2,2,1,5,3,3,2,2,3,NA,5,1,51,25,51,51,75,80,51,26,1,80,60,100,100,100,100,90,90,2,1,90,51,75,75,1,6,51,100,51,51,6,6,6,6,6,6,5,5,4,6,31,31,21,31,26,26,76,76,56,36,36,26,51,36,56,46,51,71,36,51,2,23,13,6,12,134,273,120,235,6801,84,99,168,35,9,1266,NA,TRUE,FALSE,11,11,1,1,"0,58"
"28",89,NA,NA,"base","interview",1,1,2,3,2,2,3,2,2,3,1,1,1,1,2,1,2,2,1,2,2,2,4,2,2,4,4,4,5,3,4,4,4,NA,55,51,51,NA,83,83,91,NA,31,71,NA,51,80,90,95,100,92,NA,NA,90,45,80,90,31,24,70,100,NA,21,5,5,5,6,6,5,6,5,3,3,51,50,11,23,1,51,99,91,44,31,44,53,72,80,79,78,32,89,55,91,1,22,32,5,14,86,172,76,185,172,64,69,147,15,11,1011,NA,TRUE,FALSE,11,11,6,5,"0,83"
"29",90,NA,NA,"base","interview",2,3,4,4,2,2,5,3,2,5,2,4,2,3,4,1,6,4,2,5,3,5,5,6,5,5,5,2,1,3,5,2,3,1,52,89,18,36,78,90,70,11,1,27,NA,27,100,82,50,10,21,4,1,55,80,19,68,76,1,100,50,25,25,4,5,3,6,4,6,3,3,3,4,71,45,72,38,15,39,77,47,12,74,63,40,52,56,44,1,51,39,74,26,2,18,60,5,52,81,139,51,228,138,73,112,154,26,11,1065,NA,TRUE,FALSE,11,11,1,1,"0,72"
"30",91,NA,NA,"base","interview",1,2,4,2,2,1,1,2,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,86,48,87,64,43,50,82,1,1,100,100,100,84,100,100,100,100,1,1,99,46,79,100,1,1,51,100,98,54,6,6,6,6,6,6,6,6,5,6,3,2,51,4,6,101,101,101,84,66,67,3,100,90,101,101,80,101,55,58,2,18,1,5,10,62,93,41,165,65,41,38,69,17,9,610,NA,TRUE,FALSE,11,11,0,0,"1,27"
"31",92,NA,NA,"base","interview",3,3,2,2,2,2,3,2,2,4,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,3,3,1,1,5,3,1,1,1,75,100,51,25,21,80,100,21,11,73,1,100,100,80,100,100,76,1,1,100,65,65,100,16,11,66,100,1,6,6,6,6,6,5,6,6,5,6,5,21,14,33,9,8,51,76,11,64,10,14,12,52,8,70,24,22,57,37,10,1,21,19,5,63,87,147,56,296,103,61,71,91,16,8,999,NA,TRUE,FALSE,11,11,0,0,"0,86"
"32",93,NA,NA,"base","interview",1,2,1,1,1,1,1,1,2,4,3,1,2,4,4,1,2,1,1,2,3,3,2,2,1,4,3,2,1,2,3,3,2,1,71,21,76,14,37,40,68,11,21,29,51,58,77,100,52,80,95,21,4,79,23,61,76,52,9,11,48,45,7,5,6,5,5,5,6,6,5,5,5,4,4,8,7,11,32,51,91,72,40,39,1,51,51,51,94,51,51,36,30,2,21,12,5,32,57,115,63,205,114,4110,57,140,18,14,866,NA,TRUE,FALSE,11,11,0,0,"0,81"
"33",94,NA,NA,"base","interview",2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,1,1,2,1,1,NA,90,5,100,1,66,53,100,1,1,34,52,100,100,100,100,100,100,1,1,100,19,100,100,1,1,25,100,100,100,6,6,6,6,6,6,6,6,6,6,30,20,17,15,14,56,101,101,101,101,101,16,101,101,101,101,48,101,47,59,1,20,9,5,18,49,72,43,110,53,41,29,60,15,6,496,NA,TRUE,FALSE,11,11,1,1,"1,48"
"34",95,NA,NA,"base","interview",1,1,1,2,1,3,4,2,3,6,2,1,3,2,4,1,4,4,1,4,5,1,1,3,4,5,5,2,2,3,3,2,NA,1,27,27,51,1,91,58,89,1,3,70,8,100,100,100,100,100,93,2,1,100,51,96,84,6,NA,100,100,NA,68,6,6,6,6,6,6,6,6,3,5,46,46,43,46,46,46,49,73,75,50,50,17,32,10,51,NA,52,50,51,10,1,20,30,5,29,256,203,93,389,298,127,111,352,26,6,1890,NA,TRUE,FALSE,11,11,3,3,"0,53"
"35",96,NA,NA,"base","interview",2,2,3,3,1,2,2,1,1,5,1,1,3,1,5,1,4,4,1,1,1,1,1,3,1,3,3,1,2,3,4,1,2,1,100,79,52,1,100,71,80,1,1,53,1,100,100,100,67,71,24,41,1,100,50,52,79,30,42,56,100,NA,75,6,6,5,6,5,6,6,5,5,6,71,54,46,74,31,86,101,8,87,31,46,31,88,78,101,60,69,101,78,43,1,21,26,5,27,150,185,109,283,186,99,82,242,29,10,1402,NA,TRUE,FALSE,11,11,1,1,"0,58"
"36",97,NA,NA,"base","interview",1,1,2,2,2,1,1,1,1,3,2,2,2,1,1,1,1,1,1,3,3,2,2,3,2,3,2,2,2,2,3,1,1,1,100,27,51,26,51,71,100,11,1,80,81,100,51,100,100,100,100,1,1,100,21,100,100,1,32,51,100,100,81,6,6,6,6,6,6,6,6,3,6,51,52,23,22,21,51,101,101,101,51,51,25,51,51,80,51,51,51,51,51,1,23,26,5,40,73,73,26,203,87,40,57,87,18,7,711,NA,TRUE,FALSE,11,11,0,0,"1,16"
"37",98,NA,NA,"base","interview",1,3,2,1,2,2,2,2,2,4,4,2,1,1,5,1,4,3,1,3,1,1,1,3,1,4,4,4,2,3,3,3,3,1,51,26,25,1,75,61,67,16,1,60,26,76,76,80,51,76,71,1,1,51,11,67,67,6,1,16,100,51,65,6,6,6,6,6,6,6,6,6,6,51,34,26,31,34,67,101,78,58,51,51,27,51,51,51,67,51,51,41,51,2,23,35,5,7,54,187,41,207,93,66,64,108,14,3,844,NA,TRUE,FALSE,11,11,0,0,"1,21"
"38",100,NA,NA,"base","interview",1,3,1,4,2,1,3,1,2,5,4,1,2,1,1,1,6,4,1,6,4,5,2,3,5,5,5,2,2,5,2,5,1,7,100,71,81,61,99,53,99,31,2,24,48,100,100,100,100,75,100,52,5,100,57,100,88,1,30,71,100,52,81,5,5,4,6,5,5,5,5,4,5,87,45,53,52,31,91,101,101,71,55,55,54,86,54,87,53,55,91,55,NA,2,28,20,6,14,91,197,89,193,148,57,110,129,30,5,1063,NA,TRUE,FALSE,11,11,1,1,"0,79"
"39",101,NA,NA,"base","interview",1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,6,6,5,4,1,1,1,1,2,1,1,1,2,3,1,1,1,100,51,98,15,45,45,48,1,1,100,53,98,98,95,98,98,98,1,1,100,3,100,100,4,3,30,100,52,5,6,6,6,6,6,6,6,6,5,5,5,5,6,1,1,30,91,100,91,79,78,2,82,69,84,75,4,88,27,NA,2,22,8,5,12,56,142,46,148,115,60,58,84,18,4,743,NA,TRUE,FALSE,11,11,1,1,"1,12"
"40",102,NA,NA,"base","interview",1,1,2,2,2,3,2,1,1,3,2,2,1,3,1,1,3,2,1,1,1,1,2,1,2,4,4,4,1,3,3,3,3,1,51,25,80,2,80,90,80,1,1,69,11,51,100,86,100,98,83,1,11,100,30,89,99,40,1,9,100,63,18,4,5,6,6,6,5,6,6,5,6,16,18,18,7,3,31,51,51,71,51,51,1,51,51,51,62,51,51,51,51,1,21,22,5,23,78,133,63,271,99,58,103,131,23,7,989,NA,TRUE,FALSE,11,11,0,0,"0,82"
"41",103,NA,NA,"base","interview",3,3,2,2,2,4,5,1,1,4,2,3,2,4,2,1,3,2,2,1,2,1,1,1,2,6,5,3,2,3,4,4,4,2,20,51,51,51,68,100,100,25,37,46,8,61,81,76,100,92,76,1,5,100,41,83,91,31,16,79,100,53,92,6,6,6,6,6,6,5,5,4,5,72,76,56,34,32,48,98,20,54,29,46,51,79,46,87,11,49,78,72,21,1,18,38,5,15,85,112,52,316,105,70,173,101,36,5,1070,NA,TRUE,FALSE,11,11,0,0,"0,84"
"42",106,NA,NA,"base","interview",3,3,4,5,3,2,4,2,1,6,2,2,6,1,5,1,6,4,2,4,3,2,2,4,4,6,6,5,2,5,4,4,1,1,77,77,38,79,52,100,82,1,1,1,1,100,67,51,30,58,1,1,53,100,31,100,40,21,21,100,76,51,1,5,5,5,6,6,5,5,5,4,5,88,82,31,93,86,101,71,69,19,17,25,65,70,29,38,15,78,51,71,10,2,24,60,5,28,85,120,47,191,117,48,74,94,22,5,831,NA,TRUE,FALSE,11,11,1,1,"0,95"
"43",107,NA,NA,"base","interview",2,3,3,4,2,3,1,1,1,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,6,1,1,1,5,5,5,1,1,100,1,100,1,1,95,100,100,1,56,51,NA,100,100,100,100,30,25,21,100,56,95,100,1,11,100,100,1,100,6,3,6,6,6,6,1,6,4,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,40,51,5,10,117,164,57,298,128,61,106,71,23,6,1041,NA,TRUE,FALSE,11,11,1,1,"0,88"
"44",108,NA,NA,"base","interview",2,2,2,4,3,2,4,2,2,4,4,3,3,4,3,3,3,1,1,1,3,2,2,3,3,5,4,4,2,4,5,3,2,1,71,100,49,78,12,100,76,73,51,51,51,52,87,52,52,31,31,31,41,76,74,48,40,82,52,100,31,69,75,6,4,5,6,5,6,6,5,4,4,78,77,76,76,78,78,28,32,35,31,53,70,68,51,37,58,51,51,51,30,2,23,33,5,39,145,203,71,282,95,65,67,78,21,3,1069,NA,TRUE,FALSE,11,11,0,0,"0,91"
"45",109,NA,NA,"base","interview",2,2,1,3,1,2,3,3,4,4,3,2,1,5,1,3,5,1,1,3,2,1,1,NA,1,2,3,2,2,3,4,2,5,1,43,74,13,71,48,93,73,58,4,4,1,21,100,14,97,77,25,18,1,100,77,44,25,6,48,92,75,53,98,6,6,5,6,5,5,6,5,4,6,77,59,26,56,12,64,53,83,19,37,53,70,45,24,39,19,50,51,68,12,2,21,22,5,12,74,104,51,156,90,47,58,59,25,21,697,NA,TRUE,FALSE,11,11,1,1,"1,05"
"46",110,NA,NA,"base","interview",3,5,5,4,5,4,3,1,1,6,3,6,6,6,6,6,6,6,4,6,4,4,6,6,6,4,6,2,2,6,6,6,6,82,10,18,1,52,15,100,75,50,1,1,1,1,100,56,80,54,1,16,1,51,80,61,1,11,71,42,1,51,31,5,1,1,4,1,3,2,1,1,1,101,101,71,71,91,81,11,1,1,1,1,81,11,6,1,1,76,1,101,1,2,22,80,5,6,44,77,112,152,68,32,47,73,19,10,640,NA,TRUE,FALSE,11,11,0,0,"1,31"
"47",111,NA,NA,"base","interview",2,2,2,3,2,3,3,2,3,4,3,4,2,3,3,2,2,5,2,3,4,3,3,4,4,4,4,4,3,3,3,3,3,1,10,7,10,18,25,90,68,12,15,24,1,5,98,14,93,92,15,3,7,95,51,15,67,25,45,46,27,16,42,5,4,4,4,4,4,4,4,4,4,49,34,25,30,23,41,36,23,24,10,11,20,16,14,12,16,24,18,22,15,1,22,33,5,16,146,158,69,172,136,74,65,116,21,2,975,NA,TRUE,FALSE,11,11,0,0,"1,02"
