"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","ko01_31","mi01_01","mi01_02","mi01_03","mi01_04","mi01_05","mi01_06","mi01_07","mi01_08","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","ta01_21","ta01_22","ta01_23","ta01_24","ta01_25","ta01_26","ta01_27","ta01_28","ta01_29","ta01_30","ta01_31","ta01_32","ta01_33","ta01_34","ta01_35","ta01_36","ta01_37","ta01_38","ta01_39","ta01_40","de01_01","de02","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"14",56,NA,NA,"base","interview",1,2,3,2,4,3,1,2,1,4,4,1,1,1,1,1,5,1,1,1,1,1,1,1,3,2,6,1,10,2,11,11,11,1,1,11,10,11,7,9,11,11,11,3,1,11,6,7,11,1,1,7,11,9,1,2,4,2,2,1,2,2,2,2,1,4,1,6,2,5,5,4,5,7,7,11,11,10,6,4,7,11,6,8,6,11,10,11,6,6,6,6,7,3,1,2,2,1,1,1,2,4,1,22,4,1,4,4,66,148,303,156,94,38,278,21,2,1110,NA,TRUE,FALSE,10,10,1,0,"1,29"
"15",57,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,8,1,7,1,10,7,11,1,1,5,8,11,11,11,11,11,11,2,1,11,1,11,11,1,1,4,11,11,1,2,1,2,2,1,1,1,1,5,1,4,1,6,1,11,8,6,1,11,11,11,11,11,11,10,11,11,9,6,11,2,11,11,9,9,9,10,11,8,6,1,1,1,1,5,2,6,1,23,1,3,7,26,46,124,189,96,41,46,143,27,2,740,NA,TRUE,FALSE,10,10,1,0,"1,25"
"16",62,NA,NA,"base","interview",2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,11,3,8,2,11,8,11,1,1,5,8,9,11,11,11,11,9,2,1,11,8,10,10,4,1,11,11,9,9,5,2,2,2,2,3,2,2,8,3,3,1,7,5,9,9,8,7,9,8,11,7,10,9,7,8,10,8,8,7,7,10,10,8,7,8,7,10,8,8,5,5,5,6,1,7,9,5,22,1,3,4,16,67,103,180,69,42,23,209,27,12,748,NA,TRUE,FALSE,10,10,1,0,"1,07"
"17",63,NA,NA,"base","interview",1,2,2,1,1,2,3,1,2,1,5,1,2,2,1,1,5,1,1,4,1,1,2,2,1,1,9,4,8,1,10,6,9,2,6,7,8,11,7,11,11,11,9,6,3,11,2,7,11,4,2,3,11,NA,6,4,2,1,1,3,4,2,2,6,3,4,1,6,6,8,8,8,8,10,8,8,9,11,9,8,9,9,8,9,8,9,9,10,6,8,8,8,8,7,5,3,4,5,4,4,6,8,3,23,2,2,4,988,87,128,172,146,81,44,239,46,2,957,NA,TRUE,FALSE,10,10,0,0,"0,93"
"18",65,NA,NA,"base","interview",2,2,2,2,2,1,3,3,2,4,4,3,3,4,3,4,4,3,4,4,3,4,3,3,3,1,8,11,2,11,11,11,11,11,7,6,5,3,6,3,10,7,5,6,1,10,8,6,5,8,6,7,1,2,9,5,5,2,2,5,5,2,2,5,5,7,1,10,10,11,8,5,4,2,1,5,3,8,6,1,2,2,1,2,8,4,11,7,2,6,8,8,6,5,8,5,5,9,8,1,9,6,7,22,1,2,4,4,93,42,115,29,21,16,137,42,8,507,NA,TRUE,FALSE,10,10,0,0,"1,85"
"19",66,NA,NA,"base","interview",2,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,3,2,4,1,4,9,11,2,1,3,1,9,11,7,11,11,9,2,1,10,5,8,11,1,2,2,11,6,10,4,4,2,2,2,3,2,3,3,1,3,1,3,3,7,6,3,2,11,10,10,9,11,8,9,9,10,9,3,3,3,10,7,4,2,7,6,6,4,2,1,1,2,1,2,2,4,1,21,1,4,4,2318,44,63,90,51,32,16,98,13,4,423,NA,TRUE,FALSE,10,10,1,0,"1,71"
"20",67,NA,NA,"base","interview",3,4,3,3,2,1,2,1,1,3,3,1,3,1,1,1,5,1,1,2,1,1,1,2,2,1,6,5,5,2,9,6,7,1,2,8,1,8,10,9,10,8,10,1,1,8,2,11,11,2,1,8,6,9,7,2,3,2,1,3,3,2,1,5,1,4,1,6,1,8,6,6,3,6,6,1,7,11,6,6,6,7,4,6,5,4,9,8,3,5,6,6,10,6,1,1,1,1,1,1,1,2,1,22,1,4,4,18,83,166,213,100,40,21,182,26,3,852,NA,TRUE,FALSE,10,10,1,0,"1,12"
"21",69,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,11,2,10,1,11,4,11,1,1,4,5,11,9,11,11,11,5,5,1,11,4,11,11,3,1,11,11,11,9,4,5,2,1,1,2,2,1,11,8,8,3,10,9,10,10,11,10,11,10,8,11,11,11,8,11,9,11,9,7,9,9,9,9,9,10,9,11,10,11,10,11,10,10,7,11,11,10,24,1,4,4,1771,50,131,140,89,67,17,232,30,8,776,NA,TRUE,FALSE,10,10,1,0,"1,01"
"22",70,NA,NA,"base","interview",1,2,4,4,4,4,3,2,2,2,1,3,1,1,3,1,1,3,1,3,2,1,1,1,1,NA,NA,3,3,NA,11,8,11,NA,NA,4,7,4,11,7,11,11,8,NA,NA,11,4,8,11,2,4,2,11,NA,9,3,3,4,4,3,4,4,4,6,2,2,NA,6,2,9,4,3,6,11,9,9,6,11,8,10,10,6,10,3,5,2,11,11,3,3,6,6,11,6,3,2,3,2,2,1,2,2,2,24,1,4,7,17,79,90,122,69,49,30,186,34,13,689,NA,TRUE,FALSE,10,10,9,8,"1,04"
"23",71,NA,NA,"base","interview",1,3,1,2,2,2,1,3,1,1,3,1,1,4,2,1,6,1,1,1,1,1,1,1,1,1,11,1,11,1,11,8,11,7,3,7,7,7,11,7,9,10,11,1,1,11,8,11,11,1,3,8,11,1,11,6,3,2,2,3,3,1,1,6,1,3,1,6,4,11,8,6,6,11,10,11,9,11,8,3,9,9,6,4,11,6,11,11,8,6,8,6,9,1,1,6,1,1,1,1,6,4,1,28,2,3,7,27,99,206,178,132,49,31,210,32,3,967,NA,TRUE,FALSE,10,10,1,0,"0,95"
"24",72,NA,NA,"base","interview",2,5,4,4,1,1,3,1,2,6,1,4,1,1,1,1,5,4,1,4,2,2,2,4,1,1,11,4,11,6,11,6,11,6,1,1,6,11,11,11,11,11,9,1,3,11,8,11,7,1,8,11,11,1,11,5,4,4,2,4,5,2,1,6,1,4,1,11,8,11,11,11,6,11,8,11,6,7,11,3,11,6,4,1,11,1,4,4,11,11,6,NA,9,11,11,11,6,9,11,1,11,6,11,62,2,6,6,21,99,204,330,254,121,23,183,39,3,1277,NA,TRUE,FALSE,10,10,2,1,"0,85"
"25",76,NA,NA,"base","interview",2,2,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,11,NA,11,NA,9,11,11,4,2,8,NA,10,NA,7,11,11,6,2,1,11,2,11,11,4,NA,6,11,NA,9,4,4,2,2,2,6,4,2,10,6,11,2,11,9,11,9,11,11,11,11,8,5,6,11,11,11,11,11,6,10,11,11,11,11,NA,NA,6,11,11,11,9,5,8,7,4,11,4,7,22,1,3,4,13,132,118,158,94,60,21,158,30,8,792,NA,TRUE,FALSE,10,10,6,5,"1"
"26",77,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,6,1,7,4,11,1,1,3,5,6,11,4,11,11,11,1,1,11,2,11,11,3,2,5,9,5,6,2,2,1,1,1,1,1,1,6,1,6,1,6,3,6,6,6,2,6,6,11,11,11,6,6,6,6,6,6,6,7,6,9,6,5,6,6,6,6,3,4,3,4,3,4,5,6,3,22,1,2,4,28,57,172,232,55,42,58,212,34,14,904,NA,TRUE,FALSE,10,10,1,0,"0,91"
"27",78,NA,NA,"base","interview",2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,6,2,9,9,8,1,3,9,9,6,11,8,8,7,11,1,1,11,1,10,10,6,1,6,11,9,9,3,2,2,1,2,1,1,1,4,1,6,1,5,3,8,10,7,2,10,9,10,10,10,10,10,10,10,9,6,7,7,9,10,9,NA,9,9,9,5,3,NA,5,3,1,3,2,2,1,25,1,3,4,33,210,179,479,148,121,107,482,38,15,1812,NA,TRUE,FALSE,10,10,2,2,"0,49"
"28",79,NA,NA,"base","interview",1,2,1,3,1,1,1,1,1,3,1,1,1,1,2,1,1,6,2,5,1,1,1,3,3,NA,11,3,10,NA,2,6,11,NA,NA,7,9,11,11,11,11,11,11,NA,NA,10,NA,6,11,NA,NA,5,11,11,NA,4,3,3,3,3,2,1,3,1,1,1,1,3,3,9,5,3,1,11,9,7,3,11,8,5,9,11,6,6,6,5,11,11,7,5,2,8,11,1,1,1,1,1,1,1,1,1,1,NA,1,4,4,6,105,121,176,109,73,39,137,27,4,797,NA,TRUE,FALSE,10,10,10,9,"1,12"
"29",80,NA,NA,"base","interview",2,5,2,4,2,2,4,2,2,5,1,1,1,3,2,1,5,5,2,4,2,2,4,4,4,NA,3,2,4,6,7,5,6,NA,8,3,NA,2,9,8,8,8,8,3,NA,11,2,11,10,7,2,3,10,8,11,3,3,NA,2,2,2,1,1,4,3,5,NA,4,8,10,10,6,7,10,9,10,9,10,9,9,8,10,8,NA,8,NA,9,8,7,9,9,5,9,8,7,3,2,2,2,2,8,4,2,52,1,5,3,18,583,324,399,270,85,47,399,86,39,1711,NA,TRUE,FALSE,10,10,7,6,"0,42"
"30",81,NA,NA,"base","interview",1,1,2,2,1,1,3,2,2,3,2,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,4,6,6,1,9,8,10,1,1,11,3,9,6,10,11,11,7,1,1,11,4,11,9,6,1,4,9,6,1,3,3,2,2,2,1,1,2,6,4,4,1,5,5,6,6,4,5,6,10,6,11,11,6,4,6,6,6,7,6,9,6,9,6,6,9,6,7,7,6,3,3,3,3,2,4,5,3,NA,1,3,7,66,86,104,164,103,51,61,204,51,18,908,NA,TRUE,FALSE,10,10,2,1,"0,76"
"31",82,NA,NA,"base","interview",1,3,1,2,1,3,2,1,2,1,4,3,1,2,1,1,1,2,2,5,4,2,2,1,2,1,8,1,7,2,10,10,7,3,3,3,4,8,11,8,8,8,8,2,1,9,8,7,8,1,2,2,10,8,7,4,5,3,3,4,2,2,4,7,2,2,1,7,4,8,7,5,3,5,5,6,8,10,5,6,6,11,6,7,5,3,10,10,3,3,7,4,8,4,NA,3,4,2,3,2,5,3,2,30,2,3,7,2,62,135,132,161,78,53,554,16,8,1201,NA,TRUE,FALSE,10,10,2,1,"1,16"
"32",84,NA,NA,"base","interview",3,4,2,4,3,3,3,2,3,4,1,1,1,2,2,2,2,4,2,3,2,3,3,4,2,1,6,4,2,5,9,11,6,2,1,2,1,6,11,8,7,8,11,1,1,6,2,3,7,2,2,4,3,4,7,5,5,3,3,4,4,4,3,2,1,3,1,2,6,8,7,4,4,3,4,10,2,10,5,4,3,3,2,1,3,1,3,4,2,2,9,3,8,4,3,3,4,3,2,1,3,2,3,57,2,7,3,17,147,252,246,180,84,47,285,79,12,1349,NA,TRUE,FALSE,10,10,0,0,"0,58"
"33",86,NA,NA,"base","interview",1,1,2,1,2,1,1,1,1,6,1,1,1,1,1,1,5,6,1,6,2,4,3,6,1,1,11,8,4,4,3,8,11,1,1,1,3,11,11,11,11,11,8,8,1,11,6,5,11,5,1,8,11,5,1,5,5,5,2,2,4,3,2,6,1,7,1,6,6,6,6,1,6,6,7,6,6,6,6,7,6,6,6,1,2,6,6,6,6,6,6,6,6,11,1,6,6,6,6,6,6,6,6,41,2,6,7,16,97,486,165,111,83,33,140,36,7,1174,NA,TRUE,FALSE,10,10,1,0,"0,84"
"34",87,NA,NA,"base","interview",3,4,3,2,3,2,4,2,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,11,NA,7,7,10,10,11,5,NA,11,9,8,9,7,11,8,10,1,1,11,6,11,11,1,1,9,11,11,5,3,4,1,1,1,4,3,1,8,3,9,1,8,8,11,9,NA,6,11,9,11,5,11,11,11,11,11,11,5,6,9,11,11,5,4,6,4,11,8,8,8,8,8,8,1,8,NA,6,25,1,6,7,13233,164,398,291,450,103,33,404,44,11,1910,NA,TRUE,FALSE,10,10,4,3,"0,48"
"35",88,NA,NA,"base","interview",4,4,4,4,2,2,3,4,3,5,1,5,1,1,1,1,5,3,1,1,1,1,1,2,1,1,6,6,6,6,7,9,9,1,1,3,6,9,9,10,10,9,10,2,2,11,8,7,10,6,6,6,6,3,9,6,5,2,2,2,2,2,1,6,1,6,1,6,5,6,6,6,6,6,6,6,5,10,6,6,6,6,6,5,5,6,5,6,3,6,7,6,8,6,6,6,3,6,5,4,5,5,3,58,2,4,4,14,53,106,137,109,55,39,158,28,4,703,NA,TRUE,FALSE,10,10,1,0,"1,12"
"36",90,NA,NA,"base","interview",1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,6,1,4,1,1,1,1,1,NA,3,NA,5,9,11,10,10,NA,2,2,2,6,10,8,11,11,11,NA,NA,11,NA,11,11,2,NA,2,11,NA,NA,2,2,2,2,5,4,2,2,2,NA,3,NA,3,3,11,8,2,3,11,7,1,6,11,11,11,11,11,11,3,8,2,11,11,6,2,NA,6,11,2,2,NA,1,1,NA,NA,2,NA,NA,27,1,3,5,3,56,73,202,92,44,51,191,43,6,761,NA,TRUE,FALSE,10,10,13,13,"1,25"
"37",95,NA,NA,"base","interview",2,2,3,3,3,2,4,2,2,2,2,3,1,1,2,1,1,1,1,2,1,2,3,2,1,1,9,NA,6,5,8,9,8,3,3,7,4,10,11,10,10,9,8,2,1,10,8,NA,8,4,NA,5,11,5,8,6,6,3,2,3,5,2,2,7,2,6,1,7,6,6,6,6,6,10,6,8,8,10,5,7,6,9,6,2,3,7,10,10,3,4,7,6,9,9,5,3,3,4,3,2,4,5,3,20,1,4,4,16,75,154,267,121,83,36,320,47,8,1127,NA,TRUE,FALSE,10,10,0,0,"0,76"
"38",97,NA,NA,"base","interview",3,3,2,3,2,2,1,1,1,2,1,3,2,1,2,1,3,1,1,1,2,1,1,3,1,1,6,1,9,6,3,4,9,1,1,8,1,10,11,9,11,8,2,4,4,11,6,9,8,6,4,6,11,10,3,5,2,2,2,4,4,4,3,7,1,5,1,6,5,7,9,3,3,11,7,7,10,11,8,7,9,9,6,8,8,7,8,10,6,6,8,5,10,7,4,4,1,4,2,9,8,4,2,22,1,5,4,10,71,193,241,91,53,41,241,32,3,976,NA,TRUE,FALSE,10,10,0,0,"1,03"
"39",100,NA,NA,"base","interview",2,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,6,11,1,11,7,11,1,3,9,3,11,11,11,11,11,11,1,1,11,4,11,11,3,1,11,11,11,9,5,5,2,2,3,3,3,2,8,6,9,1,9,6,11,9,11,9,11,11,11,11,11,11,11,11,11,11,10,11,9,11,11,11,8,11,1,11,9,6,7,1,9,7,11,8,7,6,24,1,2,4,11,206,220,418,103,72,62,257,86,2,1437,NA,TRUE,FALSE,10,10,2,1,"0,87"
"40",102,NA,NA,"base","interview",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,6,3,3,2,3,2,1,4,2,11,6,6,7,11,1,2,5,4,10,11,6,11,11,11,1,1,11,4,11,11,2,1,2,11,8,6,1,1,1,1,5,1,1,1,11,1,11,1,6,6,11,11,11,10,11,11,11,11,11,10,11,11,11,11,6,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,6,11,11,6,24,1,2,7,18,76,199,255,115,71,38,274,32,11,1089,NA,TRUE,FALSE,10,10,1,0,"0,77"
"41",104,NA,NA,"base","interview",3,5,3,2,3,2,4,2,2,5,1,3,1,6,4,3,6,3,3,3,4,2,2,2,4,9,8,4,3,2,2,11,9,3,1,2,7,8,10,9,9,8,1,1,6,6,8,11,9,2,2,8,11,5,11,3,2,1,1,3,1,2,2,3,2,4,1,3,9,7,8,3,2,10,6,2,3,4,7,2,3,4,3,4,9,2,5,6,6,5,2,5,6,4,3,4,3,3,2,6,2,3,4,31,2,6,6,36,107,103,167,99,50,23,109,62,20,776,NA,TRUE,FALSE,10,10,2,1,"0,91"
"42",105,NA,NA,"base","interview",2,2,4,3,1,2,3,1,1,5,1,2,4,1,2,1,5,2,2,5,3,2,3,3,4,1,5,6,2,1,3,9,11,1,1,2,9,11,8,8,11,11,5,2,1,11,8,9,11,1,4,7,11,5,11,4,4,4,4,4,4,4,4,11,3,10,1,11,11,11,11,11,9,11,11,2,9,7,10,11,10,4,9,1,9,2,4,4,5,9,9,9,11,11,9,NA,7,10,9,7,10,4,10,22,1,6,7,9,54,83,126,83,36,20,121,26,3,561,NA,TRUE,FALSE,10,10,2,1,"1,46"
"43",106,NA,NA,"base","interview",5,5,4,3,4,3,5,2,2,1,1,1,1,2,1,1,5,3,1,2,3,3,3,4,5,NA,9,11,1,11,6,6,9,8,2,1,1,8,9,5,10,8,2,1,1,11,6,5,6,9,8,10,10,9,1,4,5,3,3,3,4,2,3,8,1,8,1,8,10,10,10,9,8,10,6,6,2,8,9,9,6,2,6,1,8,1,9,2,1,2,6,6,6,8,6,6,3,8,NA,2,6,1,8,24,2,7,7,6,62,80,147,67,40,36,150,35,3,626,NA,TRUE,FALSE,10,10,2,1,"1,37"
"44",107,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,4,1,4,1,1,1,NA,11,3,8,NA,10,5,11,NA,NA,9,8,11,10,11,10,NA,10,NA,NA,11,6,11,11,3,NA,3,11,11,6,3,3,2,1,2,2,2,1,4,NA,3,NA,5,4,11,4,5,4,11,6,10,11,11,7,5,11,11,9,NA,8,8,11,NA,4,4,8,5,11,3,NA,2,NA,2,2,1,4,3,2,23,1,2,4,3,75,106,183,89,50,42,137,32,3,720,NA,TRUE,FALSE,10,10,10,9,"1,34"
